"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1643700","*****","1274639","*****","523391","408","172329","1410","5288","261","483067","1874","13192","386","4977","644","72395","2411","4001","651","68394","2358","369061","*****","158334","4422","4806","790","5424","875","3367","562","576","191","164794","4915","31760","1652","16043","1203","15717","1280",
"0500000US06013","Contra Costa County, California","1133247","*****","845146","*****","502951","607","93683","1433","2376","353","182135","1993","5251","363","3829","790","54921","2186","1740","441","53181","2150","288101","*****","145374","4346","3650","928","3153","688","2930","602","334","274","109147","3978","23513","1703","12348","1408","11165","1238",
"0500000US06041","Marin County, California","260295","*****","218960","*****","185809","544","5597","508","435","150","14815","486","292","133","2453","500","9559","643","277","170","9282","632","41335","*****","17533","1486","112","108","302","201","185","85","292","317","19809","1589","3102","631","1590","468","1512","485",
"0500000US06055","Napa County, California","140530","*****","92843","*****","74159","238","2764","204","326","141","11210","236","264","96","516","221","3604","384","220","111","3384","375","47687","*****","28552","1429","103","72","872","402","163","110","8","14","16222","1414","1767","410","944","321","823","319",
"0500000US06075","San Francisco County, California","870044","*****","737393","*****","353670","486","43619","746","1363","235","294846","1598","2694","354","4163","856","37038","1603","1510","390","35528","1580","132651","*****","52868","2621","1783","466","1383","456","2821","518","217","119","63261","2783","10318","1024","5541","810","4777","580",
"0500000US06081","San Mateo County, California","765935","*****","576933","*****","303047","431","16838","594","1151","217","212474","1296","10272","479","2476","479","30675","1680","1633","477","29042","1601","189002","*****","87977","3495","1011","266","1771","481","2863","655","232","97","83098","3904","12050","1299","5812","866","6238","906",
"0500000US06085","Santa Clara County, California","1922200","*****","1426745","*****","615912","800","45379","866","3003","397","685265","2140","6231","492","4743","889","66212","2473","3738","713","62474","2329","495455","*****","249548","5326","2679","496","6300","939","3911","527","1310","453","201254","5318","30453","1960","15347","1411","15106","1322",
"0500000US06095","Solano County, California","438530","*****","324124","*****","168870","421","59500","826","1258","273","65994","872","3928","277","1288","472","23286","1387","656","195","22630","1360","114406","*****","62279","2345","2326","592","856","258","1819","381","185","139","38664","2213","8277","780","3826","528","4451","610",
"0500000US06097","Sonoma County, California","501317","*****","368332","*****","318237","591","7192","537","2068","335","19720","800","1406","204","2501","584","17208","1156","515","226","16693","1135","132985","*****","57282","3345","768","282","2786","727","367","150","230","207","60921","3459","10631","1412","5516","989","5115","922",
