"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1656754","*****","1285735","*****","520447","487","171168","1541","5210","310","496006","2088","13277","397","5407","852","74220","2515","4091","530","70129","2411","371019","*****","149917","4200","4583","656","5910","893","3376","569","623","181","173837","4242","32773","1822","16655","1275","16118","1291",
"0500000US06013","Contra Costa County, California","1142251","*****","849953","*****","500592","537","95892","1240","2278","322","188237","1851","5297","369","3657","700","54000","2120","1848","432","52152","2013","292298","*****","137312","4358","3750","704","3228","729","2746","583","334","211","120972","4094","23956","1800","12811","1483","11145","1148",
"0500000US06041","Marin County, California","259943","*****","218416","*****","184960","534","5527","498","438","125","15110","454","249","122","2345","613","9787","736","339","186","9448","737","41527","*****","17353","1712","240","209","473","334","257","96","322","421","19913","1607","2969","564","1478","453","1491","404",
"0500000US06055","Napa County, California","139623","*****","92079","*****","73210","212","2780","153","407","172","11196","338","284","91","526","210","3676","453","207","101","3469","439","47544","*****","29257","1542","103","72","789","496","156","108","17","20","15518","1592","1704","470","809","242","895","381",
"0500000US06075","San Francisco County, California","874961","*****","741647","*****","354423","401","43782","858","1634","371","298108","1567","2934","364","3626","729","37140","1936","1703","348","35437","1957","133314","*****","51633","2287","1774","418","1589","541","2910","605","254","126","63581","2442","11573","1132","6516","894","5057","629",
"0500000US06081","San Mateo County, California","767423","*****","580175","*****","301123","494","16718","574","1158","254","217287","1349","10092","436","3012","564","30785","1620","1904","613","28881","1546","187248","*****","87195","3793","1066","262","1844","459","2864","568","274","126","81298","3652","12707","1251","6322","989","6385","701",
"0500000US06085","Santa Clara County, California","1927470","*****","1436492","*****","607903","840","45259","925","3366","402","699290","2061","6229","499","5505","922","68940","2148","3686","743","65254","2124","490978","*****","249189","5019","2733","453","6331","856","3591","528","1042","376","196889","5246","31203","1895","15439","1268","15764","1358",
"0500000US06095","Solano County, California","441829","*****","324960","*****","168060","432","59652","986","1254","259","66247","961","3911","239","1635","577","24201","1485","795","265","23406","1460","116869","*****","64377","2560","1874","531","961","341","1953","398","190","138","38711","2564","8803","883","3781","542","5022","691",
"0500000US06097","Sonoma County, California","499772","*****","366203","*****","316022","642","7399","519","2343","400","20082","706","1483","259","2239","650","16635","889","507","255","16128","864","133569","*****","57645","2881","870","304","2052","537","361","164","123","65","62392","2987","10126","1058","5307","831","4819","837",
